CODE,YEAR,CS,IT,ME,CE,CH,EE
3189,2020,13978,13978,18750,0,28122,54745
3154,2016,27366,33054,26029,43325,0,50782
3154,2017,29431,36623,32761,40923,0,65649
3154,2018,30298,36623,33069,39484,0,64531
3154,2019,28761,36614,31562,40121,0,64131
3154,2020,77334,40394,34039,69736,0,70253
3204,2016,6379,10880,10371,0,0,16942
3204,2017,6863,9795,8965,0,0,15467
3204,2018,6978,9847,9485,0,0,16485
3204,2019,6751,9154,8766,0,0,14211
3204,2020,8759,13443,36717,0,0,31893
3475,2016,17148,30419,20445,36410,0,37331
3475,2017,18622,30041,27042,48061,0,40768
3475,2018,19304,31394,26478,49282,0,41235
3475,2019,17655,31998,26981,45671,0,49128
3475,2020,20073,32403,83466,81986,0,81419
3185,2016,3589,5065,0,0,0,6665
3185,2017,2919,4381,0,0,0,7135
3185,2018,3029,4456,0,0,0,7485
3185,2019,2843,4315,0,0,0,7243
3185,2020,3675,3998,0,0,0,10279
3199,2016,921,1542,2620,3407,4127,3250
3199,2017,812,3476,1818,0,3593,2710
3199,2018,876,3324,1928,0,3627,2654
3199,2019,789,3562,2135,0,3876,2651
3199,2020,772,3195,7736,0,8495,4803
3174,2016,9710,13761,0,0,0,21063
3174,2017,6980,10799,0,0,0,21757
3174,2018,7093,10832,0,0,0,22817
3174,2019,6534,10928,0,0,0,20172
3174,2020,8970,11928,0,0,0,20192
3211,2016,9466,11947,28264,0,0,18621
3211,2017,9241,10330,14287,0,0,18268
3211,2018,9109,11024,14324,0,0,19283
3211,2019,9132,12534,14872,0,0,18233
3211,2020,9368,14565,13886,0,0,49147
3207,2016,16141,22527,12600,0,0,45791
3207,2017,14656,19849,15624,0,0,34914
3207,2018,12649,21332,19409,0,0,40045
3207,2019,11042,13256,30200,0,0,68074
3207,2020,12910,20450,40083,0,0,49774
3201,2016,11576,0,11418,24587,0,23345
3201,2017,13558,0,11763,20478,0,24539
3201,2018,12354,0,12039,19384,0,25364
3201,2019,13524,0,11324,19862,0,27631
3201,2020,33095,0,12704,59873,0,30887
3188,2016,16701,23392,0,0,0,30781
3188,2017,17346,23256,0,0,0,28976
3188,2018,17346,24943,0,0,0,28976
3188,2019,16521,22817,0,0,0,27611
3188,2020,19858,26030,0,0,0,54600
3197,2016,3254,5607,3258,0,0,10564
3197,2017,3691,6365,2921,0,0,9822
3197,2018,4103,6045,4514,0,0,8938
3197,2019,787,5063,5370,0,0,14150
3197,2020,4985,7018,13989,0,0,19088
3135,2016,7125,9989,7986,0,0,15510
3135,2017,7308,9549,6895,0,0,15155
3135,2018,7543,9657,6895,0,0,16738
3135,2019,7235,9651,6731,0,0,14231
3135,2020,8937,11989,31811,0,0,26751
3139,2016,5782,9218,0,0,0,13518
3139,2017,6009,8777,0,0,0,14917
3139,2018,6009,8947,0,0,0,14917
3139,2019,6123,8777,0,0,0,14917
3139,2020,8828,11056,0,0,0,15976
3196,2016,21753,0,18200,18794,0,35498
3196,2017,20597,0,16236,16236,0,16236
3196,2018,21049,0,15273,15273,0,15273
3196,2019,21363,0,16525,16525,0,16525
3196,2020,31860,0,84618,84618,0,84618
3096,2016,0,0,0,0,792,0
3036,2017,0,0,0,0,612,0
3036,2018,0,0,0,0,642,0
3036,2019,0,0,0,0,601,0
3036,2020,0,0,0,0,804,0
3214,2016,7909,11484,0,0,0,16289
3214,2017,9874,12140,0,0,0,17588
3214,2018,9874,13240,0,0,0,16449
3214,2019,9765,11562,0,0,0,16541
3214,2020,10156,10499,0,0,0,24876
